City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,motueka,-41.1333,173.0167,20.05,82,100,1.43,NZ,1737755708
1,yingshang chengguanzhen,32.6295,116.2701,5.47,88,100,6.52,CN,1737755710
2,invercargill,-46.4,168.35,15.57,83,100,2.68,NZ,1737755711
3,grand falls-windsor,48.9332,-55.6649,-6.39,72,84,1.34,CA,1737755712
4,isafjordur,66.0755,-23.124,-1.06,95,100,2.66,IS,1737755713
5,port-aux-francais,-49.35,70.2167,8.25,86,88,12.81,TF,1737755714
6,bethel,41.3712,-73.414,-0.59,47,67,0.45,US,1737755716
7,kenora,49.8167,-94.4337,-9.46,85,100,5.14,CA,1737755717
8,neiafu,-18.65,-173.9833,29.38,79,75,3.09,TO,1737755718
9,minas de marcona,-15.2119,-75.1103,19.92,68,93,5.8,PE,1737755719
10,san patricio,28.017,-97.5169,13.97,24,0,3.92,US,1737755720
11,mount gambier,-37.8333,140.7667,16.66,78,100,0.74,AU,1737755554
12,chui,-33.6971,-53.4616,24.92,88,75,3.96,UY,1737755723
13,suksun,57.1431,57.3949,-13.07,91,100,4.58,RU,1737755724
14,blackmans bay,-43.0167,147.3167,14.29,75,100,1.91,AU,1737755725
15,adamstown,-25.066,-130.1015,25.32,75,0,3.74,PN,1737755726
16,hamilton,39.1834,-84.5333,-2.17,50,0,3.6,US,1737755729
17,puerto natales,-51.7236,-72.4875,14.25,62,75,8.23,CL,1737755730
18,chimoio,-19.1164,33.4833,21.92,88,40,1.92,MZ,1737755731
19,la passe,45.5549,-0.8967,12.79,72,100,6.94,FR,1737755732
20,egilsstadir,65.2653,-14.3948,0.95,80,75,4.12,IS,1737755734
21,stanley,54.868,-1.6985,5.01,64,0,8.75,GB,1737755735
22,yellowknife,62.456,-114.3525,-6.71,86,75,4.63,CA,1737755736
23,olonkinbyen,70.9221,-8.7187,-1.67,86,100,5.37,SJ,1737755737
24,port elizabeth,-33.918,25.5701,20.17,96,0,2.06,ZA,1737755739
25,rikaze,29.25,88.8833,-4.58,18,0,0.62,CN,1737755740
26,albany,42.6001,-73.9662,-3.77,62,88,0.89,US,1737755741
27,kabala,9.5833,-11.55,25.81,43,16,1.9,SL,1737755742
28,port alfred,-33.5906,26.891,22.32,96,36,1.75,ZA,1737755743
29,miyazu,35.5333,135.1833,3.88,67,97,3.88,JP,1737755745
30,anadyr,64.75,177.4833,-27.72,75,40,12.0,RU,1737755746
31,lensk,60.7253,114.9278,-20.95,85,100,6.76,RU,1737755747
32,namibe,-15.1961,12.1522,23.67,79,100,2.17,AO,1737755748
33,nakhon ratchasima,15.0,102.1667,21.85,38,100,1.45,TH,1737755750
34,iqaluit,63.7506,-68.5145,-18.15,71,75,3.6,CA,1737755751
35,iskateley,67.6803,53.1512,-23.27,100,100,2.99,RU,1737755752
36,imbituba,-28.24,-48.6703,21.99,93,100,1.14,BR,1737755753
37,enewetak,11.3474,162.3373,26.82,65,14,8.36,MH,1737755754
38,chonchi,-42.6128,-73.8092,17.13,55,75,1.89,CL,1737755756
39,lazaro cardenas,17.9583,-102.2,28.42,62,31,3.87,MX,1737755757
40,callao,-12.0667,-77.15,24.16,73,75,6.17,PE,1737755758
41,avarua,-21.2078,-159.775,28.03,78,100,3.09,CK,1737755759
42,santa cruz,-17.8,-63.1667,30.7,62,40,7.2,BO,1737755760
43,atafu village,-8.5421,-172.5159,28.21,74,63,8.47,TK,1737755762
44,marka,1.7159,44.7717,24.0,82,3,9.01,SO,1737755763
45,chesma,53.8111,60.6533,-14.43,74,100,5.4,RU,1737755764
46,grytviken,-54.2811,-36.5092,5.02,95,100,5.62,GS,1737755765
47,vorkuta,67.5,64.0,-21.46,100,98,0.58,RU,1737755766
48,kruisfontein,-34.0033,24.7314,18.93,88,0,1.14,ZA,1737755768
49,aykhal,66.0,111.5,-39.25,100,53,2.85,RU,1737755769
50,lebork,54.5392,17.7501,4.68,86,100,6.94,PL,1737755770
51,rio grande,-32.035,-52.0986,23.77,87,100,4.5,BR,1737755771
52,waitangi,-43.9535,-176.5597,13.03,73,99,3.71,NZ,1737755773
53,jamestown,42.097,-79.2353,-8.32,84,100,2.06,US,1737755774
54,wailua homesteads,22.0669,-159.378,23.96,64,0,4.12,US,1737755775
